ref_article ;magazin;pf_name;status;pf_issue_type
PF0189;        MI33;JUS MANGUE 1L;O;BLOCKED_STATUS
PF0192;        MI33;JUS ORANGE 1L NV;M;OK
PF0227;        MI33;JUS MULTIVITAMINE 1L;M;OK
PF0245;        MI01;DELICE NATURE 110 GR;M;OK
PF0288;        MI33;JUS POIRE  1L;M;OK
PF0289;        MI33;JUS PECHE  1L;O;BLOCKED_STATUS
PF0301;        MI01;DELICE FRAISE 110 GR;M;OK
PF0308;        MI33;JUS TIME RELAX 1L;M;OK
PF0360;        MI01;DELICE ABRICOT 110 GR;M;OK
PF0361;        MI01;DELICE PECHE 110 GR;M;OK
PF0413;        MI33;JUS MULTIVITAMINE PF 20 CL;M;OK
PF0415;        MI33;JUS POIRE PF 20 CL;M;OK
PF0483;        MI01;DANETTE FLAN CARAMEL 95;M;OK
PF0488;        MI33;P’TIT DELICE ORANGE 19CL;M;OK
PF0524;        MI01;MAMZOUJ VANILLE 70;M;OK
PF0525;        MI01;DELICE FRUITS ROUGES 110 GR;O;BLOCKED_STATUS
PF0526;        MI01;MAMZOUJ FRAISE BISCUIT 70;M;OK
PF0530;        MI01;MAMZOUJ VANILLE BISCUIT 70;M;OK
PF0533;        MI01;DELICE VANILLE 110 GR;M;OK
PF0582;        MI01;DELICE A BOIRE FRAISE 150 GR;M;OK
PF0584;        MI01;DELICE A BOIRE PANACHE 150 GR;M;OK
PF0624;        MI01;DELICE BANANE 110 GR;M;OK
PF0686;        MI01;DELICE CERISE 110 GR;M;OK
PF0687;        MI01;DELICE ANANAS 110 GR;M;OK
PF0702;        MI01;DANUP FRAISE 160 GR;M;OK
PF0703;        MI01;DANUP VANILLE 160 GR;M;OK
PF0704;        MI01;DANUP TROPICAL MIX 160 GR;M;OK
PF0705;        MI01;DANUP PECHE MELBA 160 GR;M;OK
PF0706;        MI01;MPACK*6 DANUP FRAISE 960 GR;M;OK
PF0707;        MI01;MPACK*6 DANUP VANILLE 960 GR;M;OK
PF0719;        MI01;DANUP FRAISE 260 GR;M;OK
PF0720;        MI01;DANUP VANILLE 260 GR;M;OK
PF0721;        MI01;DANUP TROPICAL MIX 260 GR;M;OK
PF0722;        MI01;DANUP PECHE MELBA 260 GR;M;OK
PF0724;        MI01;DELICE CITRON 110 GR;M;OK
PF0728;        MI01;OIKOS NATURE;M;OK
PF0756;        MI01;MAMZOUJ VANILLE 100 GR;M;OK
PF0757;        MI01;DELICE MANGUE 110 GR;M;OK
PF0765;        MI01;DELICE FRAMBOISE 110 GR;M;OK
PF0766;        MI01;BLENDY DATTES FRAMB CER 120 GR;M;OK
PF0775;        MI01;DELICE COCO 110 GR;M;OK
PF0776;        MI01;DELICE POMME 110 GR;M;OK
PF0777;        MI01;DELICE POIRE 110 GR;M;OK
PF0778;        MI01;DELICE MULTIFRUITS 110 GR;M;OK
PF0779;        MI01;DELICE FIGUE 110 GR;M;OK
PF0780;        MI01;DELICE DATTES 110 GR;M;OK
PF0781;        MI01;DELICE MIEL 110 GR;M;OK
PF0782;        MI01;DELICE CARAMEL 110 GR;M;OK
PF0783;        MI01;DELICE LIGHT NATURE 110 GR;M;OK
PF0784;        MI01;DELICE LIGHT FRAISE 110 GR;M;OK
PF0785;        MI01;DELICE LIGHT VANILLE 110 GR;M;OK
PF0786;        MI01;DELICE LIGHT ABRICOT 110 GR;M;OK
PF0793;        MI01;DANAO PECHE/ABRICOT 200GR;M;OK
PF0794;        MI01;DELICE LIGHT PECHE 110 GR;M;OK
PF0798;        MI01;BLENDY POMME KIWI CHIA 120 GR;M;OK
PF0811;        MI01;RAIB NATURE 1L;M;OK
PF0817;        MI33;JUS COCKTAIL RELAX 75 CL;M;OK
PF0827;        MI01;RAIB FRAISE 1L;M;OK
PF0833;        MI01;BLENDY POIRE GRAINE DE LIN 120;M;OK
PF0850;        MI01;DANETTE ASSIDET ZGOUGOU 95 GR;M;OK
PF0853;        MI01;RAIB BANANE 1L;M;OK
PF0854;        MI01;RAIB GRENADE 1L;M;OK
PF0855;        MI01;DANAO MANGUE POMME KIWI 250 GR;M;OK
PF0870;        MI01;RAIB PECHE 1L;M;OK
PF0873;        MI01;LABEN 1L;M;OK
PF0875;        MI01;LABEN 500 ML;M;OK
PF0876;        MI01;LABEN LIGHT 1L;M;OK
PF0880;        MI01;DELICE ET FRUITS PECHE 95 GR;M;OK
PF0881;        MI01;DELICE ET FRUITS CERISE 95 GR;M;OK
PF0882;        MI01;DELICE ET FRUITS ANANAS 95 GR;M;OK
PF0883;        MI01;LABEN BIO 1L;M;OK
PF0886;        MI01;DANETTE ASSIDA PISTACHE  95 G;M;OK
PF0888;        MI01;YAOURT A BOIRE FRAISE 200 ML;M;OK
PF0889;        MI01;DANETTE CHOCOLAT 95 GR;M;OK
PF0890;        MI01;YAOURT A BOIRE VANILLE 200 ML;M;OK
PF0891;        MI01;DANETTE VANILLE 95 GR;M;OK
PF0892;        MI01;YAOURT A BOIRE BANANE 200 ML;M;OK
PF0893;        MI01;MPACK*8 DANETTE CHOCO/ PRALINE;M;OK
PF0895;        MI01;YAOURT A BOIRE PECHE 200 ML;M;OK
PF0896;        MI01;SMOOTHIE FRAISE BANANE 250 ML;M;OK
PF0902;        MI01;SMOOTHIE MANGUE ANANAS 250 ML;M;OK
PF0905;        MI01;DELICE MAX FRUITS BOIS 330 GR;M;OK
PF0907;        MI01;DANAO FRAISE BANANE 200 GR;M;OK
PF0916;        MI01;SMOOTHIE FRUITS ROUGES 250 ML;M;OK
PF0931;        MI01;CREME DESSERT CHOCOLAT 90 GR;M;OK
PF0939;        MI01;CREME DESSERT VANILLE 90 GR;M;OK
PF0948;        MI33;JUS TROPICAL PF 20 CL;M;OK
PF0949;        MI33;JUS PECHE PF 20 CL;M;OK
PF0952;        MI01;DELICE FERME NATURE 100+10;M;OK
PF0953;        MI01;DELICE FERME BANANE 100+10;M;OK
PF0954;        MI01;DELICE FERME FRAISE 100+10;M;OK
PF0955;        MI01;DELICE FERME VANILLE 100+10;M;OK
PF0956;        MI01;DELICE FERME NDC 100+10;M;OK
PF0957;        MI01;CREME DESSERT CARAMEL 90 GR;M;OK
PF0958;        MI01;CREME DESSERT CAPPUCCINO 90 GR;M;OK
PF0959;        MI01;CREME DESSERT NOISETTE 90 GR;M;OK
PF0960;        MI01;CREME DESSERT COCO 90 GR;M;OK
PF0961;        MI01;CREME DESSERT BANANE 90 GR;M;OK
PF0962;        MI01;DELICE PROTEINE NATURE 150 GR;M;OK
PF0963;        MI01;DELICE PROTEINE FRAISE 150 GR;M;OK
PF0977;        MI01;DELICE PROTEINE VANILLE 150 GR;M;OK
PF0982;        MI01;YOPRO YAB NATURE 300G;M;OK
PF0983;        MI01;YOPRO YAB FRAISE FRAMBOSE 300G;M;OK
PF0984;        MI01;YOPRO YAB VANILLE BISCUIT 300G;M;OK
PF0985;        MI01;YOPRO LAIT UHT CHOCOLAT 280G;M;OK
PF0986;        MI01;YOPRO LAIT UHT CAFÉ CARAM 280G;O;BLOCKED_STATUS
PF0995;        MI01;DELICE BIO NATURE 110 GR;M;OK
PF0996;        MI02;YAOURT GREC NATURE 500G;M;OK
PF0997;        MI04;SKYR NATURE 450G;M;OK
PF0998;        MI10;BOISSON LACTEE CACAO 250ML;O;BLOCKED_STATUS
PF0999;        MI22;FERME FRAISE 125G;M;OK
PF1000;        MI40;FERME VANILLE 125G;M;OK
PF1001;        MI02;DELICE FERME CITRON 100+10;O;BLOCKED_STATUS
PF1002;        MI04;DANAO POMME POIRE 200GR;M;OK
PF1003;        MI10;RAIB CITRON VERT 1L;M;OK
PF1004;        MI22;LABEN FRAISE 500 ML;M;OK
