doco	dcto	nb_pf	nb_pf_ibstkt_o	nb_pf_ibstkt_m	nb_pf_absent_in_mcu	sgev01_a07	sfev01_a06	sale_exists_f4211	sqalph	aicusts	has_any_sdnxtr_ne_999	SDADDJ	SDTRDJ	SDNXTR	error_type
25108223	CS	1	0	1	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25108262	CS	2	0	2	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25108265	CS	3	0	3	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25109140	CS	4	0	4	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25109203	CS	5	0	5	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25109212	CS	6	0	6	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25109244	CS	7	0	7	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25109402	CS	8	0	8	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25109760	CS	9	0	9	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25110136	CS	1	0	1	0	0	1	0	STE FRERES AYADI DISTRIBUTION NORD OUEST	1					INACTIVE_CUSTOMER
25110413	CS	10	0	10	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25110485	CS	11	0	11	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25110736	CS	12	0	12	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25110849	CS	13	0	13	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25111540	CS	14	0	14	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25111836	CS	15	0	15	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25111839	CS	16	0	16	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25111993	CS	17	0	17	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25111994	CS	18	0	18	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25114220	CS	19	0	19	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25114221	CS	20	0	20	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25114705	CS	21	0	21	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25116268	CS	22	0	22	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25116409	CS	23	0	23	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25116470	CS	24	0	24	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25116633	CS	25	0	25	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25117148	CS	26	0	26	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25117155	CS	27	0	27	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25117500	CS	28	0	28	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25117540	CS	29	0	29	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25117754	CS	30	0	30	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25117879	CS	1	0	1	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25118607	CS	2	0	2	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25118608	CS	3	0	3	0	0	1	0	STE FRERES AYADI DISTRIBUTION NORD OUEST	1					INACTIVE_CUSTOMER
25118609	CS	4	0	4	0	0	1	0	STE GENERAL DE DISTRIBUTION	1					INACTIVE_CUSTOMER
25118610	CS	5	0	5	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25118611	CS	1	0	1	0	0	1	0	SOCIETE LACTO DISTRIBUTION	1					INACTIVE_CUSTOMER
25118612	CS	2	0	2	0	0	1	0	STE FRERES AYADI DISTRIBUTION NORD OUEST	1					INACTIVE_CUSTOMER
25118613	CS	3	0	3	0	0	1	0	STE GENERAL DE DISTRIBUTION	1					INACTIVE_CUSTOMER
25118614	CS	4	0	4	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25118615	CS	5	0	5	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25118616	CS	1	0	1	0	0	1	0	STE FRERES AYADI DISTRIBUTION NORD OUEST	1					INACTIVE_CUSTOMER
25118617	CS	2	0	2	0	0	1	0	STE GENERAL DE DISTRIBUTION	1					INACTIVE_CUSTOMER
25118618	CS	3	0	3	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25118619	CS	4	0	4	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25118620	CS	5	0	5	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25118621	CS	1	0	1	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25118645	CS	2	0	2	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25119502	CS	3	0	3	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25119503	CS	4	0	4	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25119679	CS	5	0	5	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25119771	CS	6	0	6	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25120555	CS	7	0	7	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25166289	CO	8	0	8	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25166704	CO	9	0	9	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25167113	CO	10	0	10	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25167114	CO	11	0	11	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25167139	CO	12	0	12	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25167466	CO	13	0	13	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25167502	CO	14	0	14	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25167503	CO	15	0	15	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25167823	CO	16	0	16	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25167824	CO	17	0	17	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25168096	CO	18	0	18	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25168493	CO	19	0	19	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
