doco;dcto;nb_pf;nb_pf_ibstkt_m;sqalph;SDADDJ;SDTRDJ;SDNXTR;error_type
25108223;CS;1;1;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25108262;CS;2;2;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25108265;CS;3;3;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25109140;CS;4;4;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25109203;CS;5;5;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25109212;CS;6;6;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25109244;CS;7;7;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25109402;CS;8;8;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25109760;CS;9;9;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25110136;CS;1;1;STE FRERES AYADI DISTRIBUTION NORD OUEST;;;;INACTIVE_CUSTOMER
25110413;CS;10;10;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25110485;CS;11;11;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25110736;CS;12;12;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25110849;CS;13;13;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25111540;CS;14;14;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25111836;CS;15;15;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25111839;CS;16;16;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25111993;CS;17;17;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25111994;CS;18;18;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25114220;CS;19;19;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25114221;CS;20;20;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25114705;CS;21;21;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25116268;CS;22;22;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25116409;CS;23;23;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25116470;CS;24;24;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25116633;CS;25;25;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25117148;CS;26;26;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25117155;CS;27;27;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25117500;CS;28;28;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25117540;CS;29;29;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25117754;CS;30;30;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25117879;CS;1;1;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25118607;CS;2;2;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25118608;CS;3;3;STE FRERES AYADI DISTRIBUTION NORD OUEST;;;;INACTIVE_CUSTOMER
25118609;CS;4;4;STE GENERAL DE DISTRIBUTION;;;;INACTIVE_CUSTOMER
25118610;CS;5;5;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25118611;CS;1;1;SOCIETE LACTO DISTRIBUTION;;;;INACTIVE_CUSTOMER
25118612;CS;2;2;STE FRERES AYADI DISTRIBUTION NORD OUEST;;;;INACTIVE_CUSTOMER
25118613;CS;3;3;STE GENERAL DE DISTRIBUTION;;;;INACTIVE_CUSTOMER
25118614;CS;4;4;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25118615;CS;5;5;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25118616;CS;1;1;STE FRERES AYADI DISTRIBUTION NORD OUEST;;;;INACTIVE_CUSTOMER
25118617;CS;2;2;STE GENERAL DE DISTRIBUTION;;;;INACTIVE_CUSTOMER
25118618;CS;3;3;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25118619;CS;4;4;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25118620;CS;5;5;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25118621;CS;1;1;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25118645;CS;2;2;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25119502;CS;3;3;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25119503;CS;4;4;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25119679;CS;5;5;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25119771;CS;6;6;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25120555;CS;7;7;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25166289;CO;8;8;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25166704;CO;9;9;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25167113;CO;10;10;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25167114;CO;11;11;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25167139;CO;12;12;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25167466;CO;13;13;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25167502;CO;14;14;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25167503;CO;15;15;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25167823;CO;16;16;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25167824;CO;17;17;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25168096;CO;18;18;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25168493;CO;19;19;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25168494;CO;20;20;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25168596;CO;21;21;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25168607;CO;22;22;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25169026;CO;23;23;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25169027;CO;24;24;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25169667;CO;25;25;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25169736;CO;26;26;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25170361;CO;27;27;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25171024;CO;28;28;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25171511;CO;29;29;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25173147;CO;30;30;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25173177;CO;1;1;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
