nom_magasin;status
ARMES COM;0
MOHAMED AMINE MARAOUI SFAX 2;1
SOCIETE LACTO DISTRIBUTION;1
SOCIETE TAHA DISTRIBUTION DE SUD;0
STE AL AKREM DE COMM ET DISTRI EN GROS;0
STE BECHIR ETTAIEB DE COMMERCE;0
STE FRERES AYADI DISTRIBUTION NORD OUEST;1
STE GENERAL DE DISTRIBUTION;1
SUDMILK;0
STE NOUR DISTRIBUTION CENTRALE;1
SOCIETE OMNI COMMERCE ET DISTRIBUTION;1
STE LES FRERES MANSOUR DISTRIBUTION;1
SOCIETE ATLAS LAIT DISTRIBUTION;1
STE KARIM BEN SALAH COMMERCE;1
SOCIETE MEDITERRANEE PRODUITS LAITIERS;1
STE HEDI JELASSI DISTRIBUTION NORD;0
SOCIETE UNION DES GROSSISTES TUNIS;1
STE SALAH HAMROUNI COMMERCE EN GROS;1
SOCIETE IDEAL DISTRIBUTION SFAX;0
STE MOHAMED TRABELSI DISTRIBUTION SUD;1
SOCIETE EL HOUDA DISTRIBUTION;0
