doco;dcto;pf_list;mcu_list
25108223;CS;PF1005;MI40
25108262;CS;PF0707, PF0719;MI01,MI01
25108265;CS;PF0721, PF0722, PF0724;MI01,MI01,MI01
25109140;CS;PF0781, PF0782, PF0783, PF0784;MI01,MI01,MI01,MI01
25109203;CS;PF1000, PF1002, PF1003, PF1004, PF1005;MI40,MI04,MI10,MI22,MI40
25109212;CS;PF1011, PF1012, PF1013, PF1015, PF1016, PF1017;MI40,MI10,MI02,MI04,MI40,MI02
25109244;CS;PF0705, PF0706, PF0707, PF0719, PF0720, PF0721, PF0722;MI01,MI01,MI01,MI01,MI01,MI01,MI01
25109402;CS;PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25109760;CS;PF0786, PF0793, PF0794, PF0798, PF0811, PF0817, PF0827, PF0833, PF0850;MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01
25110136;CS;PF0833;MI01
25110413;CS;PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25110485;CS;PF0765, PF0766, PF0775, PF0776, PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25110736;CS;PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793, PF0794, PF0798;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25110849;CS;PF0722, PF0724, PF0728, PF0756, PF0757, PF0765, PF0766, PF0775, PF0776, PF0777, PF0778, PF0779, PF0780;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25111540;CS;PF1000, PF1002, PF1003, PF1004, PF1005, PF1006, PF1007, PF1008, PF1010, PF1011, PF1012, PF1013, PF1015, PF1016;MI40,MI04,MI10,MI22,MI40,MI02,MI33,MI01,MI22,MI40,MI10,MI02,MI04,MI40
25111836;CS;PF0756, PF0757, PF0765, PF0766, PF0775, PF0776, PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25111839;CS;PF0766, PF0775, PF0776, PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793, PF0794, PF0798;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25111993;CS;PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931, PF0939, PF0948;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33
25111994;CS;PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931, PF0939, PF0948, PF0949, PF0952;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI33,MI01
25114220;CS;PF0916, PF0931, PF0939, PF0948, PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963, PF0977, PF0982;MI01,MI01,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25114221;CS;PF0931, PF0939, PF0948, PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963, PF0977, PF0982, PF0983, PF0984;MI01,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25114705;CS;PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931, PF0939, PF0948, PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25116268;CS;PF0775, PF0776, PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793, PF0794, PF0798, PF0811, PF0817, PF0827, PF0833, PF0850, PF0853, PF0854;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01
25116409;CS;PF0833, PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25116470;CS;PF1012, PF1013, PF1015, PF1016, PF1017, PF1018, PF1019, PF0192, PF0227, PF0245, PF0288, PF0301, PF0308, PF0360, PF0361, PF0413, PF0415, PF0483, PF0488, PF0524, PF0526, PF0530, PF0533, PF0582;MI10,MI02,MI04,MI40,MI02,MI10,MI22,MI33,MI33,MI01,MI33,MI01,MI33,MI01,MI01,MI33,MI33,MI01,MI33,MI01,MI01,MI01,MI01,MI01
25116633;CS;PF0756, PF0757, PF0765, PF0766, PF0775, PF0776, PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793, PF0794, PF0798, PF0811, PF0817, PF0827, PF0833, PF0850, PF0853;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01
25117148;CS;PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25117155;CS;PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931, PF0939, PF0948, PF0949, PF0952, PF0953, PF0954, PF0955, PF0956;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI01
25117500;CS;PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793, PF0794, PF0798, PF0811, PF0817, PF0827, PF0833, PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25117540;CS;PF0907, PF0916, PF0931, PF0939, PF0948, PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963, PF0977, PF0982, PF0983, PF0984, PF0985, PF0995, PF0996, PF0997, PF0999, PF1000, PF1002;MI01,MI01,MI01,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI02,MI04,MI22,MI40,MI04
25117754;CS;PF0785, PF0786, PF0793, PF0794, PF0798, PF0811, PF0817, PF0827, PF0833, PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896;MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25117879;CS;PF0793;MI01
25118607;CS;PF0777, PF0778;MI01,MI01
25118608;CS;PF0778, PF0779, PF0780;MI01,MI01,MI01
25118609;CS;PF0779, PF0780, PF0781, PF0782;MI01,MI01,MI01,MI01
25118610;CS;PF0780, PF0781, PF0782, PF0783, PF0784;MI01,MI01,MI01,MI01,MI01
25118611;CS;PF0781;MI01
25118612;CS;PF0782, PF0783;MI01,MI01
25118613;CS;PF0783, PF0784, PF0785;MI01,MI01,MI01
25118614;CS;PF0784, PF0785, PF0786, PF0793;MI01,MI01,MI01,MI01
25118615;CS;PF0785, PF0786, PF0793, PF0794, PF0798;MI01,MI01,MI01,MI01,MI01
25118616;CS;PF0786;MI01
25118617;CS;PF0793, PF0794;MI01,MI01
25118618;CS;PF0794, PF0798, PF0811;MI01,MI01,MI01
25118619;CS;PF0798, PF0811, PF0817, PF0827;MI01,MI01,MI33,MI01
25118620;CS;PF0811, PF0817, PF0827, PF0833, PF0850;MI01,MI33,MI01,MI01,MI01
25118621;CS;PF0817;MI33
25118645;CS;PF0902, PF0905;MI01,MI01
25119502;CS;PF0892, PF0893, PF0895;MI01,MI01,MI01
25119503;CS;PF0893, PF0895, PF0896, PF0902;MI01,MI01,MI01,MI01
25119679;CS;PF0301, PF0308, PF0360, PF0361, PF0413;MI01,MI33,MI01,MI01,MI33
25119771;CS;PF0963, PF0977, PF0982, PF0983, PF0984, PF0985;MI01,MI01,MI01,MI01,MI01,MI01
25120555;CS;PF0686, PF0687, PF0702, PF0703, PF0704, PF0705, PF0706;MI01,MI01,MI01,MI01,MI01,MI01,MI01
25166289;CO;PF1017, PF1018, PF1019, PF0192, PF0227, PF0245, PF0288, PF0301;MI02,MI10,MI22,MI33,MI33,MI01,MI33,MI01
25166704;CO;PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793, PF0794, PF0798;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25167113;CO;PF0948, PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959;MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25167114;CO;PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961;MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25167139;CO;PF1004, PF1005, PF1006, PF1007, PF1008, PF1010, PF1011, PF1012, PF1013, PF1015, PF1016, PF1017;MI22,MI40,MI02,MI33,MI01,MI22,MI40,MI10,MI02,MI04,MI40,MI02
25167466;CO;PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25167502;CO;PF0996, PF0997, PF0999, PF1000, PF1002, PF1003, PF1004, PF1005, PF1006, PF1007, PF1008, PF1010, PF1011, PF1012;MI02,MI04,MI22,MI40,MI04,MI10,MI22,MI40,MI02,MI33,MI01,MI22,MI40,MI10
25167503;CO;PF0997, PF0999, PF1000, PF1002, PF1003, PF1004, PF1005, PF1006, PF1007, PF1008, PF1010, PF1011, PF1012, PF1013, PF1015;MI04,MI22,MI40,MI04,MI10,MI22,MI40,MI02,MI33,MI01,MI22,MI40,MI10,MI02,MI04
25167823;CO;PF0833, PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25167824;CO;PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25168096;CO;PF0939, PF0948, PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963, PF0977, PF0982, PF0983;MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25168493;CO;PF1005, PF1006, PF1007, PF1008, PF1010, PF1011, PF1012, PF1013, PF1015, PF1016, PF1017, PF1018, PF1019, PF0192, PF0227, PF0245, PF0288, PF0301, PF0308;MI40,MI02,MI33,MI01,MI22,MI40,MI10,MI02,MI04,MI40,MI02,MI10,MI22,MI33,MI33,MI01,MI33,MI01,MI33
25168494;CO;PF1006, PF1007, PF1008, PF1010, PF1011, PF1012, PF1013, PF1015, PF1016, PF1017, PF1018, PF1019, PF0192, PF0227, PF0245, PF0288, PF0301, PF0308, PF0360, PF0361;MI02,MI33,MI01,MI22,MI40,MI10,MI02,MI04,MI40,MI02,MI10,MI22,MI33,MI33,MI01,MI33,MI01,MI33,MI01,MI01
25168596;CO;PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963, PF0977, PF0982, PF0983, PF0984, PF0985, PF0995, PF0996, PF0997, PF0999, PF1000, PF1002, PF1003, PF1004, PF1005;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI02,MI04,MI22,MI40,MI04,MI10,MI22,MI40
25168607;CO;PF0985, PF0995, PF0996, PF0997, PF0999, PF1000, PF1002, PF1003, PF1004, PF1005, PF1006, PF1007, PF1008, PF1010, PF1011, PF1012, PF1013, PF1015, PF1016, PF1017, PF1018, PF1019;MI01,MI01,MI02,MI04,MI22,MI40,MI04,MI10,MI22,MI40,MI02,MI33,MI01,MI22,MI40,MI10,MI02,MI04,MI40,MI02,MI10,MI22
25169026;CO;PF0720, PF0721, PF0722, PF0724, PF0728, PF0756, PF0757, PF0765, PF0766, PF0775, PF0776, PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793, PF0794;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25169027;CO;PF0721, PF0722, PF0724, PF0728, PF0756, PF0757, PF0765, PF0766, PF0775, PF0776, PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793, PF0794, PF0798, PF0811;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25169667;CO;PF0827, PF0833, PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25169736;CO;PF0192, PF0227, PF0245, PF0288, PF0301, PF0308, PF0360, PF0361, PF0413, PF0415, PF0483, PF0488, PF0524, PF0526, PF0530, PF0533, PF0582, PF0584, PF0624, PF0686, PF0687, PF0702, PF0703, PF0704, PF0705, PF0706;MI33,MI33,MI01,MI33,MI01,MI33,MI01,MI01,MI33,MI33,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25170361;CO;PF0483, PF0488, PF0524, PF0526, PF0530, PF0533, PF0582, PF0584, PF0624, PF0686, PF0687, PF0702, PF0703, PF0704, PF0705, PF0706, PF0707, PF0719, PF0720, PF0721, PF0722, PF0724, PF0728, PF0756, PF0757, PF0765, PF0766;MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25171024;CO;PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931, PF0939, PF0948, PF0949, PF0952;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI33,MI01
25171511;CO;PF0817, PF0827, PF0833, PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931;MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
